M_SIGLAUNIVOCA;M_SIGLAAZ;DESCRIZIONE;NOMEBREVE;COORDX;COORDY;TIPO;COMUNE;LOCALITA;STAMPAPERORARIO;IDDISEGNO;FR;SOPPRESSA;STALLO
RE086044;086044;SUZZARA - VIALE VIRGILIO 90;NULL;636447,137;983932,008;2;NULL;NULL;S;393236447;S;N;NULL
RE086045;086045;SUZZARA - SCUOLE MANZONI;NULL;636809,924;983943,694;2;NULL;NULL;S;394336809;S;N;NULL
RE086046;086046;SUZZARA - VIALE VIRGILIO 25;NULL;637336,056;983768,013;2;NULL;NULL;S;376837336;S;N;NULL
RE086047;086047;SUZZARA - PIAZZA LUPPI;NULL;637526,679;983568,795;5;NULL;NULL;N;356837526;S;N;NULL
RE086053;086053;SUZZARA - PIAZZA LUPPI;NULL;637533,686;983528,044;5;NULL;NULL;S;352837533;S;N;NULL
RE086546;086546;SUZZARA - VIALE VIRGILIO 25;NULL;637334,881;983784,93;2;NULL;NULL;S;378437334;S;N;NULL
RE086547;086547;SUZZARA - VIA ROSSELLINI;NULL;636790,512;983680,669;5;NULL;NULL;N;368036790;S;N;NULL
RE087018;087018;GONZAGA - STAZIONE;NULL;643496,405;977851,297;5;NULL;NULL;S;785143496;S;N;NULL
RE087019;087019;GONZAGA - ENTE FIERA;NULL;643760,252;979115,723;2;NULL;NULL;S;911543760;S;N;NULL
RE087022;087022;GONZAGA - VIA DANTE;NULL;643479,723;979582,261;5;NULL;NULL;S;958243479;S;N;NULL
RE087027;087027;GONZAGA - VIALE VIRGILIO;NULL;643469,635;979633,721;5;NULL;NULL;S;963343469;S;N;NULL
RE087113;087113;VILLA BEGOZZO;NULL;639059,562;980465,44;5;NULL;NULL;N;46539059;S;N;NULL
RE087114;087114;SUZZARA - SCUOLE BERTAZZONI;NULL;638027,056;983947,796;2;NULL;NULL;S;394738027;S;N;NULL
RE087518;087518;GONZAGA - STAZIONE;NULL;643489,087;977875,775;2;NULL;NULL;S;787543489;S;N;NULL
RE087519;087519;GONZAGA - ENTE FIERA;NULL;643746,736;979112,285;2;NULL;NULL;S;911243746;S;N;NULL
RE087527;087527;GONZAGA - VIALE VIRGILIO;NULL;643516,199;979610,86;5;NULL;NULL;N;961043516;S;N;NULL
RE087610;087610;VILLA BEGOZZO;NULL;639057,225;980498,29;5;NULL;NULL;N;49839057;S;N;NULL
RE089006;089006;MOGLIA;NULL;651254,046;976990,303;2;NULL;NULL;S;699051254;S;N;NULL
RE089506;089506;MOGLIA;NULL;651273,02;976986,069;2;NULL;NULL;S;698651273;S;N;NULL
RE093035;093035;VIADANA;NULL;620190,426;975836,475;5;NULL;NULL;S;583620190;S;N;NULL
RE093036;093036;VIADANA - ISTITUTO SANFELICE;NULL;620136,253;976297,738;2;NULL;NULL;S;629720136;S;N;NULL
RE093037;093037;VIADANA - ISTITUTO VANONI;NULL;620059,1;976903,217;5;NULL;NULL;S;690320059;S;N;NULL
RE1445;1445;NOVI ;NULL;650165,758;973174,32;2;68;Novi Di Modena;S;317450165;S;N;NULL
RE1570;1570;SASSUOLO - INC. VIA ANCORA;NULL;641100,95;934308,575;2;156;Sassuolo;S;430841100;S;N;NULL
RE1701;1701;VILLAFRANCA;NULL;649654,113;972358,099;2;68;Novi Di Modena;S;235849654;S;N;NULL
RE1721;1721;BAR URIS ;NULL;649904,216;972833,999;2;68;Novi Di Modena;S;283349904;S;N;NULL
RE1766;1766;SASSUOLO - SCUOLA E. MORANTE ;NULL;641137,884;933245,992;2;156;Sassuolo;S;324541137;S;N;NULL
RE1767;1767;SASSUOLO - SCUOLE VIA BOLOGNA;NULL;640862,262;933353,991;2;156;Sassuolo;S;335340862;S;N;NULL
RE1768;1768;SASSUOLO - MONTANARA;NULL;641264,33;932818,679;1;156;Sassuolo;N;281841264;S;N;NULL
RE220211;220211;PARMA - PIAZZA GARIBALDI;NULL;605090,438;961935;2;NULL;NULL;S;193505090;S;N;NULL
RE2237;2237;SASSUOLO TERMINAL BUS;NULL;642008,013;934110,474;5;156;Sassuolo;N;411042008;S;N;NULL
RE2388;2388;SASSUOLO - STAZIONE(RE);NULL;641809,099;934089,808;5;156;Sassuolo;S;408941809;S;N;NULL
RE2391;2391;SASSUOLO - STAZIONE(RE);NULL;641730,158;934092,668;5;156;Sassuolo;S;409241730;S;N;NULL
RE2553;2553;S. MARTINO IN RIO - CIMITERO;NULL;641992,874;954747,241;2;117;San Martino In Rio;N;474741992;S;N;NULL
RE2800;2800;NOVI ;NULL;650147,719;973156,012;2;68;Novi Di Modena;S;315650147;S;N;NULL
RE2810;2810;SASSUOLO - ISTITUTO BAGGI;NULL;642333,844;934007,023;2;156;Sassuolo;S;400742333;S;N;NULL
RE2839;2839;SASSUOLO - ISTITUTO BAGGI;NULL;642355,844;934039,023;5;156;Sassuolo;S;403942355;S;N;NULL
RE292009;292009;MARTORANO;NULL;611838,812;957093,188;2;NULL;NULL;S;709311838;S;N;NULL
RE292010;292010;MONTICELLI - INC. MALANDRIANO;NULL;611179,125;955015,312;2;NULL;NULL;S;501511179;S;N;NULL
RE292011;292011;MONTICELLI - CASA DI CURA M. LUIGIA;NULL;610992,688;954366,5;2;NULL;NULL;S;436610992;S;N;NULL
RE292012;292012;MONTICELLI - SCUOLE;NULL;610709,188;953955,875;2;NULL;NULL;S;395510709;S;N;NULL
RE292509;292509;MARTORANO;NULL;611855,125;957105,062;2;NULL;NULL;S;710511855;S;N;NULL
RE292510;292510;MONTICELLI - INC. MALANDRIANO;NULL;611197,562;955040,438;2;NULL;NULL;S;504011197;S;N;NULL
RE292511;292511;MONTICELLI - CASA DI CURA M. LUIGIA;NULL;611029,625;954449,625;2;NULL;NULL;S;444911029;S;N;NULL
RE292512;292512;MONTICELLI - SCUOLE;NULL;610731,625;953967,062;2;NULL;NULL;S;396710731;S;N;NULL
RE294024;294024;MONTECHIARUGOLO - LA FRATTA;NULL;612966,312;950549,5;2;NULL;NULL;S;54912966;S;N;NULL
RE294026;294026;MONTICELLI TERME;NULL;610414,125;953770,188;2;NULL;NULL;S;377010414;S;N;NULL
RE294524;294524;MONTECHIARUGOLO - LA FRATTA;NULL;612982,438;950540,312;2;NULL;NULL;S;54012982;S;N;NULL
RE294526;294526;MONTICELLI TERME;NULL;610468;953783,875;2;NULL;NULL;S;378310468;S;N;NULL
RE297004;297004;S. PROSPERO - SCUOLE;NULL;611064,616;959369,453;2;NULL;NULL;S;936911064;S;N;NULL
RE297005;297005;PARMA - STAZIONE FS;NULL;605094,526;962760,814;2;NULL;NULL;S;276005094;S;N;NULL
RE297008;297008;IL MORO;NULL;612621,511;958658,818;5;NULL;NULL;S;865812621;S;N;NULL
RE297009;297009;IL MORO - INCR. VIA DALL'AGLIO;NULL;611886,289;958996,687;2;NULL;NULL;S;899611886;S;N;NULL
RE297010;297010;S. PROSPERO - INC. VIAZZA MARTORANO;NULL;611272,379;959272,256;2;NULL;NULL;S;927211272;S;N;NULL
RE297011;297011;S. PROSPERO;NULL;610740,23;959525,698;2;NULL;NULL;S;952510740;S;N;NULL
RE297012;297012;S. PROSPERO - INC. VIA ROCCATAGLIATA;NULL;610227,082;959750,944;2;NULL;NULL;S;975010227;S;N;NULL
RE297013;297013;S. PROSPERO - INC. STRADA DEL POZZETTO;NULL;609855,108;959922,258;2;NULL;NULL;S;992209855;S;N;NULL
RE297014;297014;S. LAZZARO - INC. COLORETO;NULL;609391,926;960132,435;2;NULL;NULL;S;13209391;S;N;NULL
RE297015;297015;S. LAZZARO - EX SALAMINI;NULL;609072,299;960276,782;2;NULL;NULL;S;27609072;S;N;NULL
RE297016;297016;S. LAZZARO - INC. STRADA BENECETO;NULL;608641,666;960470,125;2;NULL;NULL;S;47008641;S;N;NULL
RE297017;297017;S. LAZZARO - DADAUMPA;NULL;608402,538;960585,127;2;NULL;NULL;S;58508402;S;N;NULL
RE297018;297018;PARMA - S. LAZZARO;NULL;607927,459;960800,856;2;NULL;NULL;S;80007927;S;N;NULL
RE297019;297019;S. LAZZARO - INC. VIA CIMAROSA;NULL;606624,363;961398,075;2;NULL;NULL;S;139806624;S;N;NULL
RE297021;297021;PARMA - BARILLA CENTER;NULL;606019,212;961673,288;2;NULL;NULL;S;167306019;S;N;NULL
RE297022;297022;PARMA - INC. VIA TOSCANA;NULL;606047,786;962127,36;2;NULL;NULL;S;212706047;S;N;NULL
RE297023;297023;PARMA - HOTEL DUPARC;NULL;604435,231;962763,564;2;NULL;NULL;S;276304435;S;N;NULL
RE297025;297025;PARMA - VIALE S. MICHELE;NULL;605869,375;961632,25;2;NULL;NULL;S;163205869;S;N;NULL
RE297026;297026;PARMA - VIALE M. DELLA LIBERTA;NULL;605142,407;961253,869;2;NULL;NULL;S;125305142;S;N;NULL
RE297027;297027;PARMA - VIALE CAPRERA;NULL;604572,947;961203,109;2;NULL;NULL;S;120304572;S;N;NULL
RE297028;297028;PARMA - BARRIERA BIXIO;NULL;604380,965;961279,881;5;NULL;NULL;S;127904380;S;N;NULL
RE297029;297029;PARMA - PIAZZALE S. CROCE;NULL;603941,756;962081,952;2;NULL;NULL;S;208103941;S;N;NULL
RE297030;297030;PARMA - VIALE DEI MILLE 64;NULL;604020,5;961692,625;2;NULL;NULL;S;169204020;S;N;NULL
RE297031;297031;PARMA - VIALE DELLA  VILLETTA;NULL;604249,5;961172;2;NULL;NULL;S;117204249;S;N;NULL
RE297032;297032;PARMA - PIAZZALE S. CROCE;NULL;604011,55;962139,057;2;NULL;NULL;S;213904011;S;N;NULL
RE297033;297033;PARMA - VIALE FRATTI;NULL;605714,228;962515,508;2;NULL;NULL;S;251505714;S;N;NULL
RE297034;297034;PARMA - INC. VIA MARCHESI;NULL;604152,584;962707,019;2;NULL;NULL;S;270704152;S;N;NULL
RE297504;297504;S. PROSPERO - SCUOLE;NULL;611052,75;959351,312;2;NULL;NULL;S;935111052;S;N;NULL
RE297507;297507;IL MORO;NULL;612488,312;958695;2;NULL;NULL;S;869512488;S;N;NULL
RE297508;297508;IL MORO - INCR. VIA DALL'AGLIO;NULL;611818,625;959002,312;2;NULL;NULL;S;900211818;S;N;NULL
RE297509;297509;S. PROSPERO - INC. VIAZZA MARTORANO;NULL;611282,724;959253,658;2;NULL;NULL;S;925311282;S;N;NULL
